0	0.000504809
1	0.00185568
2	0.00358484
3	0.00498686
4	0.00522199
5	0.00344538
6	-0.00105124
7	-0.00870071
8	-0.0195399
9	-0.0331211
10	-0.0484678
11	-0.0640811
12	-0.0780013
13	-0.0879213
14	-0.0913461
15	-0.0857864
16	-0.068971
17	-0.0390612
18	0.00515124
19	0.0640811
20	0.137236
21	0.223164
22	0.319472
23	0.422914
24	0.529546
25	0.634939
26	0.734437
27	0.82344
28	0.897692
29	0.953554
30	0.988239
31	1
32	0.988239
33	0.953554
34	0.897692
35	0.82344
36	0.734437
37	0.634939
38	0.529546
39	0.422914
40	0.319472
41	0.223164
42	0.137236
43	0.0640811
44	0.00515124
45	-0.0390612
46	-0.068971
47	-0.0857864
48	-0.0913461
49	-0.0879213
50	-0.0780013
51	-0.0640811
52	-0.0484678
53	-0.0331211
54	-0.0195399
55	-0.00870071
56	-0.00105124
57	0.00344538
58	0.00522199
59	0.00498686
60	0.00358484
61	0.00185568
62	0.000504809
